part_number,model,manufacturer,type,capacity,bit_width,voltage,speed,package,dimensions,die_count,cs_count,die_revision,op_temp,notes
MT40A2G16SA-062E,MT40A2G16SA-062E,Micron,DDR4,16Gb,x16,1.2V VDD,DDR4-3200 CL22,VFBGA-96,7.5x13x1.0,1,2,Rev E,商用,
K4AAG165WA-BCWE,K4AAG165WA-BCWE,Samsung,DDR4,16Gb,x16,1.2V VDD,DDR4-3200 CL22,FBGA-96,7.5x13x1.0,1,2,,商用,Samsung DDR4 主流
H5ANAG6NCJR-VKC,H5ANAG6NCJR-VKC,SK Hynix,DDR4,16Gb,x16,1.2V VDD,DDR4-3200 CL22,FBGA-96,7.5x13x1.0,1,2,,商用,
H5ANAG8NCJR-VKC,H5ANAG8NCJR-VKC,SK Hynix,DDR4,16Gb,x64,1.2V VDD,DDR4-3200 CL22,FBGA-78,7.5x11x0.9,1,1,,商用,带 ECC
MT40A512M16TB-062E,MT40A512M16TB-062E,Micron,DDR4,8Gb,x16,1.2V VDD,DDR4-3200 CL22,VFBGA-96,7.5x13x1.0,1,1,Rev E,商用,
K4A4G165WF-BCWE,K4A4G165WF-BCWE,Samsung,DDR4,4Gb,x16,1.2V VDD,DDR4-3200 CL22,FBGA-96,7.5x13x1.0,1,1,,商用,
H5TC4G63CFR-RDA,H5TC4G63CFR-RDA,SK Hynix,DDR3,4Gb,x16,1.5V VDD,DDR3-1866 CL13,FBGA-96,7.5x13x1.0,1,1,,商用,DDR3 旧机型常用
MT41K512M16HA-125,MT41K512M16HA-125,Micron,DDR3,8Gb,x16,1.5V VDD,DDR3-1600 CL11,FBGA-96,7.5x13x1.0,1,1,,商用,
MT41K1G8SN-125,MT41K1G8SN-125,Micron,DDR3,8Gb,x8,1.5V VDD,DDR3-1600 CL11,FBGA-78,7.5x11x0.9,1,1,,商用,
K4B2G1646F-BCNB,K4B2G1646F-BCNB,Samsung,DDR3,2Gb,x16,1.5V VDD,DDR3-1866 CL13,FBGA-96,7.5x13x1.0,1,1,,商用,
W631GU6KB-15,W631GU6KB-15,Winbond,DDR3,1Gb,x16,1.5V VDD,DDR3-1600 CL11,VFBGA-96,7.5x13x1.0,1,1,,商用,Winbond DDR3 通用型号
W25Q128JVSSIQ,W25Q128JVSSIQ,Winbond,NOR Flash,128Mb,,2.7-3.6V,133MHz,SOP-8,5x6x1.8,1,1,,商用,串行 NOR Flash 16MB
W25Q64JVSSIQ,W25Q64JVSSIQ,Winbond,NOR Flash,64Mb,,2.7-3.6V,133MHz,SOP-8,5x6x1.8,1,1,,商用,串行 NOR Flash 8MB
MX25L12835FMI-10G,MX25L12835FMI-10G,Macronix,NOR Flash,128Mb,,2.7-3.6V,104MHz,SOP-16,7.5x10x1.8,1,1,,商用,Macronix 串行 NOR Flash
MX25L6433FZNI-08G,MX25L6433FZNI-08G,Macronix,NOR Flash,64Mb,,2.7-3.6V,80MHz,WSON-8,6x8x0.8,1,1,,商用,小型封装 NOR Flash
MT25QL128ABA1ESE,MT25QL128ABA1ESE,Micron,NOR Flash,128Mb,,2.7-3.6V,133MHz,SOP-16,7.5x10x1.8,1,1,,商用,
